Name,ServiceType,Phone,Website,Address,Resource
Manhattan Mini Storage,Self-storage facility,(646) 956-5743,www.storage-mart.com,"510-520 W 21st St, New York, NY 10011",Google Search
BOXIE24 New York | Self Storage,Storage facility,(332) 240-4830,www.boxie24.com,"530 7th Ave Suite 2208, New York, NY 10018",Google Search
ReadySpaces,Warehouse,(801) 810-2009,readyspaces.com,"1919 Vineburn Ave, Los Angeles, CA 90032",Google Search
Prologis,,(212) 750-1831,www.prologis.com,"461 5th Ave 21st floor, New York, NY 10017",Google Search
Radical Storage - Luggage Storage East Village,Luggage storage facility,(906) 569-1256,radicalstorage.com,"196 1st Ave, New York, NY 10009",Google Search
Wafels & Dinges Warehouse,Warehouse,(646) 257-2592,wafels.com,"264 Butler St, Brooklyn, NY 11217",Google Search
Manhattan Mini Storage,Self-storage facility,(929) 644-3418,www.storage-mart.com,"41 E 21st St, New York, NY 10010",Google Search
Standard Wholesale Hardware,Wholesaler,(212) 353-0450,standardlock.com,"42 Ludlow St, New York, NY 10002",Google Search
Manhattan Mini Storage,Self-storage facility,(646) 859-1252,www.storage-mart.com,"520 W 17th St, New York, NY 10011",Google Search
Manhattan Mini Storage,Self-storage facility,(646) 956-5333,www.storage-mart.com,"524 W 23rd St, New York, NY 10011",Google Search
"Establish, Inc.",Business management consultant,(212) 776-9900,www.establishinc.com,"1411 Broadway Floor 16, New York, NY 10018",Google Search
Collegiate Storage and Rental,Self-storage facility,(800) 883-8281,,"1150 Broadway, New York, NY 10001",Google Search
Supreme Business Solutions,,(212) 871-8657,,"248 W 35th St, New York, NY 10001",Google Search
Local Locker Storage,Self-storage facility,(646) 466-4996,locations.localocker.com,"253 W 28th St, New York, NY 10001",Google Search
Sofia Brothers Inc,Moving and storage service,(212) 873-3600,www.sofiastorage.com,"139 Franklin St, New York, NY 10013",Google Search
Storage Post Self Storage,Self-storage facility,(917) 994-0884,www.storagepost.com,"444 E 10th St, New York, NY 10009",Google Search
Local Locker Storage,Self-storage facility,(646) 466-3567,locations.localocker.com,"300 E 29th St, New York, NY 10016",Google Search
Stuf Storage - East Village New York,Self-storage facility,(212) 372-7491,www.stufstorage.com,"176 E 3rd St, New York, NY 10009",Google Search
Local Locker Storage,Self-storage facility,(917) 970-7519,locations.localocker.com,"125 W 25th St, New York, NY 10001",Google Search
Local Locker Storage,Self-storage facility,(929) 437-6965,locations.localocker.com,"344 W 38th St, New York, NY 10018",Google Search
LuggageHero,Luggage storage facility,(646) 760-7507,app.luggagehero.com,"4-6 W 37th St, New York, NY 10018",Google Search
Nemo Tile - Contractor Warehouse,Tile store,(212) 505-0009,www.nemotile.com,"NEMO - Manhattan Contractor Warehouse, 49 E 20th St, New York, NY 10003",Google Search
Local Locker Storage,Self-storage facility,(917) 456-9486,locations.localocker.com,"371 E 10th St, New York, NY 10009",Google Search
Manhattan Mini Storage,Self-storage facility,(332) 232-4556,www.storage-mart.com,"78 Walker St, New York, NY 10013",Google Search
Local Locker Storage,Self-storage facility,(646) 787-1152,locations.localocker.com,"7 Dey St, New York, NY 10007",Google Search
Murphy Moving Company NYC - Office Movers,Mover,(332) 239-2878,murphymovers.com,"116 W 23rd St suite 500 office 96, New York, NY 10011",Google Search
Amazeify,,(858) 683-6185,amazeify.store,,Google Search
