name,phone,address,website,city,email
"David J. D’Apolito, D.M.D.",,"Rahway Avenue, Woodbridge, NJ, 07095",,,
"David W. Paulussen, DMD",+1 909 850 4200,"US Hwy 46 W, Hackettstown, NJ, 07840",,,
Dayspring & Macaluso,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
DeMartino Advanced Cosmetic & Laser Dentistry,,NJ,,,
Dear Tooth Fairy,,NJ,,,
Dent Blanche Dental,+1 609-890-1888,"Larwenceville Road, Princeton, NJ, 08540",https://www.dentblanchedental.com/,,dentblanchedental@gmail.com
Dent Blanche Dental,(609) 890-1888,"3640 Lawrenceville Rd, Princeton, NJ 08540, USA",http://www.dentblanchedental.com/,Trenton,dentblanchedental@gmail.com
Dental & Implant Center of Edgewater,1-201-943-4000,"River Road, Edgewater, NJ, 07020",https://www.dentist-edgewater.com,,
Dental Arts,,"Washington Street, Hoboken, NJ, 07030",,,
Dental Arts At Washington Township,,"Talon Court, Sewell, NJ, 08080",,,
Dental Arts Design,,NJ,,,
Dental Arts Group - Clementon,(856) 746-4544,"250 Gibbsboro Rd, Clementon, NJ 08021, USA",https://dagsmiles.com/clementon,Camden,elmer@dagsmiles.com; somerdale@dagsmiles.com
Dental Arts Group - Northeast Philadelphia,(267) 351-8089,"7052-56 Frankford Ave, Philadelphia, PA 19135, USA",https://dagsmiles.com/northeast-philadelphia/,Cherry Hill,
Dental Arts Of Haddonfield,1-856-429-5622,"Kings Highway West, Haddonfield, NJ, 08033",https://www.dentalartsofhaddonfield.com/,,dentalartshaddonfield@gmail.com
Dental Arts of Haddonfield,(856) 420-7893,"26 Kings Hwy W, Haddonfield, NJ 08033, USA",https://www.dentalartsofhaddonfield.com/,Camden,
Dental Arts of South Jersey,(856) 494-6035,"1001 Laurel Oak Rd STE C1, Voorhees Township, NJ 08043, USA",https://www.dentalartsofsouthjersey.com/,Camden,
Dental Associates,,NJ,,,
Dental Associates of Hoboken,,NJ,,,
Dental Care Hillsborough,,NJ,,,
Dental Care Princeton,(609) 651-4196,"301 N Harrison St, Princeton, NJ 08540, USA",https://www.godental365.com/location/nj/mercer-county/dental-care-princeton?utm_source=gbp&utm_medium=organic,Trenton,
Dental Care of Hopewell Crossing,,NJ,,,
Dental Concepts,,NJ,,,
"Dental Excellence, LLC",,NJ,,,
"Dental Group Of Morristown, LLC",,"Washington Street, NJ",,,
Dental Harmony of Hamilton,16099817145,"Nottingham Way, Hamilton, NJ, 08690",,,
Dental Health 360,,NJ,,,
Dental Health Associates,,"State Route 38, Lumberton, NJ, 08048",,,
Dental Horizons,,NJ,,,
Dental Office,,NJ,,,
Dental Solutions Market Street,(215) 792-2171,"722 Market St Fl 1, Philadelphia, PA 19106, USA",https://dentalsolutionscreatingsmiles.com/dentist-office/philadelphia-pa-19106?utm_source=Google&utm_medium=KnowledgePanel&utm_campaign=Website,Cherry Hill,
Dental Solutions of Deptford,(856) 375-1414,"1450 Clements Bridge Rd # 13, Woodbury, NJ 08096, USA",https://dentalsolutionscreatingsmiles.com/dentist-office/deptford-nj-08096?utm_source=Google&utm_medium=KnowledgePanel&utm_campaign=Website,Camden,
Dental Solutions of Voorhees,(856) 481-2307,"2 Sheppard Rd # 100, Voorhees Township, NJ 08043, USA",https://dentalsolutionscreatingsmiles.com/dentist-office/voorhees-nj-08043?utm_source=Google&utm_medium=KnowledgePanel&utm_campaign=Website,Camden,
Dental Solutions on 13th Street,(215) 995-6643,"201 S 13th St Fl 1, Philadelphia, PA 19107, USA",https://dentalsolutionscreatingsmiles.com/dentist-office/philadelphia-pa-19107?utm_source=Google&utm_medium=KnowledgePanel&utm_campaign=Website,Cherry Hill,
Dental Specialists of New Jersey,1973-577-5905,"Pompton Avenue, Verona, NJ, 07044",https://dentalspecialistsofnj.com/locations/verona,,info@dentalspecialistsofnj.com
Dental World,,NJ,,,
Dentist,,"Haddonfield-Berlin Road, Voorhees, NJ, 08043",,,
Dentist Staten Island- A. Christopher Bernardini D.D.S.,(718) 524-3019,"125 Old Town Rd, Staten Island, NY 10304, USA",https://christopherbernardinidds.com/,Newark,
Dentist Vineland - South Jersey Pediatric Dental,1-856-367-5234,"South Main Road, Vineland, NJ, 08360",https://www.sjpdental.com,,
Dentist on Madison,(212) 227-4600,"274 Madison Ave Rm 202, New York, NY 10016, USA",http://dentistonmadison.com/?utm_campaign=gmb,Union City,"info@dentistonmadison.com; Info@dentistonmadison.com, info@dentistonmadison.com"
Dentistry at 1818 Market Street,(215) 567-2666,"1818 Market St #100, Philadelphia, PA 19103, USA",http://www.centercitydentist.com/,Cherry Hill,
Dentistry for Children,,NJ,,,
Dentistry for Life,(215) 575-0550,"1601 Walnut St # 1217, Philadelphia, PA 19102, USA",https://dentistryforlife.net/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,Camden,
Dentistry for Special People,,"Fries Mill Road, Blackwood, NJ, 08012",,,
Dentistry of South Jersey,,"South Broadway, Pennsville, NJ, 08070",,,
Deptford Family Dental,(856) 848-6006,"2000 Clements Bridge Rd, Deptford, NJ 08096, USA",http://deptfordfamilydental.com/,Camden,
Designer Smile,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Di Taranto Dan P DDS,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Diamond Braces,,"E. McFarlan Street, Dover, NJ, 07801",,,
Diamond Braces,,NJ,,,
Diamond Braces Orthodontist: Braces & Invisalign,,"West Main Street, NJ",,,
Diamond District Dental NYC,(212) 759-5595,"10 W 46th St #1401, New York, NY 10036, USA",https://www.dddentalnyc.com/,Elizabeth,
Diane C Blau DMD,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dimension Dental,,NJ,,,
Doctors of Dental Medicine,,NJ,,,
"Donald C. Bogert, Jr., DMD",,NJ,,,
"Donald J. Miliner, DDS",,"West State Street, Trenton, NJ, 08618",,,
Dr Lesser,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dr Tyl,,NJ,,,
Dr. A.W. Baghal Family Dentistry,,"NJ-23, Wayne, NJ, 07470",,,
"Dr. Albert F. Kuchler Jr, DMD",,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dr. Amy James & Associates Orthodontists,,"North Haddon Avenue, Haddonfield, NJ, 08033",,,
Dr. Angela Aaron Dental,,"Franklin Turnpike, Waldwick, NJ, 07463",,,
"Dr. Arthur Yeh & Associates | Dentist in Montclair, NJ | General & Cosmetic Dentistry",(973) 338-9595,"1460 Broad St, Bloomfield, NJ 07003, USA",https://www.drarthuryeh.com/,Newark,
Dr. Deepa Rupani DMD,,"Ratzer Road, Wayne, NJ, 07470",,,
Dr. Dennis Rivera,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dr. Dental,+1 732-248-3368,"US Highway 1 South, Edison, NJ, 08817",https://www.mydrdental.com/location/new-jersey/edison/,,
Dr. Dental: Dentistry & Braces,(201) 641-5240,"500 S River St, Hackensack, NJ 07601, USA",https://www.mydrdental.com/location/new-jersey/hackensack/,Newark,
Dr. Dental: Dentistry & Braces,(201) 623-3355,"542 New York Ave, Lyndhurst, NJ 07071, USA",https://www.mydrdental.com/location/new-jersey/lyndhurst/,Newark,
Dr. Dental: Dentistry & Braces,(973) 531-4444,"41 Ackerman Ave, Clifton, NJ 07011, USA",https://www.mydrdental.com/location/new-jersey/dr-dental-dentist-clifton-nj/,Paterson,
"Dr. Frank DiCicco, DMD",,"Ratzer Road, Wayne, NJ, 07470",,,
"Dr. Frank Ferrara, DMD",,"Ratzer Road, Wayne, NJ, 07470",,,
"Dr. Harry A. Long, DMD",,"Ratzer Road, Wayne, NJ, 07470",,,
"Dr. Heather K. Sculthorpe, DMD",,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dr. Hyon K. Yoo,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dr. James M. Fegan,,NJ,,,
"Dr. Jay A. Zimmerman, DMD",+1 973-635-9515,"Sheffield Street, Mountainside, NJ, 07092",https://www.jayzimmermandentist.com/,,
Dr. Jeffrey M. Falduto Family Dentistry,(973) 696-4200,"8 Chapel Hill Rd Lincoln Park, NJ 07035",https://www.jeffreymfaldutodmd.com,,office@jfalduto.com
"Dr. John A. Fizer, DDS",,"Market Street, Trenton, NJ, 08608",,,
Dr. Joseph A. Checchio Dentistry,856-270-2203,"Mullica Hill Road, Mullica Hill, NJ, 08062",,,
"Dr. Lori A. Vanderwende-Perrone, DMD",,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dr. Lori Vanderwende-Bleeker DMD PA,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
"Dr. Mariana C. Elwell DDS, MAGD, ABGD",1-856-455-4095,"Franklin Street, Bridgeton, NJ, 08302",https://www.mybridgetondentist.com/,,
Dr. Nasir General Dentistry,(973) 483-5902,"701 Frank E Rodgers Blvd N #5, Harrison, NJ 07029, USA",https://nasirdds.com/,Newark,
Dr. R. M. Brown Dentistry,,NJ,,,
Dr. Shoshana Sperling,,"Berdan Avenue, Wayne, NJ, 07470",,,
"Dr. Suzanne Grubowski, Family & Cosmetic Dentistry",,NJ,,,
"Dr. Thomas M. Scorziello, DMD",,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dunn Dental,,NJ,,,
Dynamic Dental Arts,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dzemaludin Harba Family Dentistry,2016701765,"West Midland Avenue, Paramus, NJ, 07652",,,
East Madison Dental,+1 201-501-8282,"East Madison Avenue, Dumont, NJ, 07628",https://www.emdental.com/dumont-nj/,,
East Madison Dental,+1 201-735-1190,"Piermont Road, Tenafly, NJ, 07670",https://www.emdental.com/tenafly-nj/,,
East Madison Dental - Dumont,(551) 266-5443,"79 E Madison Ave, Dumont, NJ 07628, USA",https://www.emdental.com/dumont-nj/?utm_campaign=gmb&utm_medium=local&utm_source=google,Paterson,
Eastern Dental,,"Parkway Avenue, Ewing, NJ, 08628",,,
Eastern Dental,(609) 362-3103,"1330 Parkway Ave, Ewing Township, NJ 08628, USA",http://easterndental.com/offices/ewing-nj?y_source=1_NDk4OTc3NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,Trenton,
Eastern Dental,,"Route 37 West, NJ",,,
Eastern Dental,,NJ,,,
Eastern Dental,(609) 807-2141,"520 Lawrence Square Blvd S, Lawrence Township, NJ 08648, USA",http://easterndental.com/offices/lawrenceville-nj?y_source=1_NDk4OTc4Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,Trenton,
Eastern Dental - Manahawkin,,NJ,,,
Elite Orthodontics,,"Berdan Avenue, Wayne, NJ, 07470",,,
Elizabeth Dental Care,+1 908-353-0900,"Westfield Avenue, Elizabeth, NJ, 07208",http://www.elizabethdentalcare.net,,
Elizabeth Oral Surgery Group,1-908-585-4990,"N Broad St, #2C, Elizabeth, NJ, 07208",https://elizabethoralsurgerygroup.com/,,contact@elizabethoralsurgerygroup.com
Elm Dental,1-609-561-1121,"White Horse Pike, Hammondton, NJ, 08037",https://www.zdental.net/elm-dental-associates/,,
Emergency Dentist of Hawthorne NJ,1-973-323-2235,"Lafayette Avenue, Hawthorne, NJ, 07506",https://emergencydentisthawthornenj.com/,,
Emerson Family Dental,,"Old Hook Road Suite, Emerson, NJ, 07630",,,
"Esteban Barrera, D.D.S.",,NJ,,,
"Ewa Awad, D.D.S.",,NJ,,,
"Exclusive Oral Surgery, LLC",,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Family & Cosmetic Dentistry,,"Ernston Road, Parlin, NJ, 08859",,,
Family & Cosmetic Dentistry,,NJ,,,
Family Dental - Dr. Ira Bauman,(732) 264-3865,"East Front Street, Keyport, NJ, 07735",http://www.keyportdentist.com/,,
Family Dental Associates of Brookdale,,"Broad Street, Bloomfield, NJ, 07003",,,
Family Dental Care of South Jersey,(856) 309-2244,"707 County Rte 561 unit b, Voorhees Township, NJ 08043, USA",http://www.familydentalcareofsouthjersey.com/,Camden,fdcsjrecords@gmail.com
Family Dental Group,,"Washington Avenue, Belleville, NJ, 07109",,,
Family Dental-Medical Center,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Family Dentist,,NJ,,,
Family Dentist D.D.S.,,NJ,,,
Family Dentistry,,"East Main Street, Marlton, NJ, 08053",,,
Family Dentistry,(201) 438-5100,"30 Ames Ave, Rutherford, NJ 07070, USA",https://www.dentistryrinconlorenzo.com/,Newark,
Family Dentistry,1-908-850-8660,"US 46, Hackettstown, NJ, 07840",,,
Family Dentistry,,"Barclay Farm Shopping Center, Cherry Hill, NJ, 08034",,,
Family Dentistry,,"Beachwood Boulevard, Beachwood, NJ, 08722",,,
Family Dentistry 2000,,"North 6th Street, Newark, NJ",,,
Family Dentistry of Edison,+1 732-548-9400,"Parsonage Road, Edison, NJ, 08837",http://www.toothdoctors.net/,,
Family Friendly Dental,,NJ,,,
Family and Cosmetic Dentistry,,NJ,,,
Fanwood Dental Group,,NJ,,,
Fine Dental Care,,"Valley Road, Wayne, NJ, 07470",,,
Fishtown Dentistry,(215) 739-2543,"244 E Girard Ave, Philadelphia, PA 19125, USA",http://www.fishtowndentistry.com/,Cherry Hill,
Five Points Family Dentistry,(609) 386-5700,"1303 Mt Holly Rd, Burlington, NJ 08016, USA",https://fivepointsdentalnj.com/?utm_source=Google_website&utm_medium=Next,Trenton,fivepointsfamilydentistry@gmail.com
Frank Batastini Orthodontics,,"Fries Mill Road, Blackwood, NJ, 08012",,,
Frank R. DePaola DDS & Associates,1-201-792-9400,"Maxwell Lane, Hoboken, NJ, 07030",https://thesmilist.com/hoboken-dentist/,,
Franklin Corner Dental Group,(609) 896-0100,"96 Franklin Corner Rd, Lawrenceville, NJ 08648, USA",https://www.franklincornerdentalgroup.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,Trenton,
Franklin Lakes Orthodontics,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Franklinville Family Dentistry,1-856-694-5555,"Delsea Drive, Franklinville, NJ",,,
Friendly Dental,,"Oxford Lane, Aberdeen Township, NJ, 07747",,,
Furie Periodontics & Implants,,NJ,,,
Galloway Dental Group,,NJ,,,
Ganttown Dental,,"Ganttown Road, Sewell, NJ, 08080",,,
Garden State Dental,732-276-4135,NJ,,,
"Garden State Dental Design / Arthur Szabela, D.D.S.",732-669-7227,"Raritan Road, Clark, NJ, 07066",https://www.gardenstatedentaldesign.com/,,
Garden State Smiles,(609) 689-2660,"3100 Quakerbridge Rd #5, Hamilton Township, NJ 08619, USA",https://gardenstatesmileshamilton.com/,Trenton,
Garwood Dental Excellence,,NJ,,,
Gentle Dental Spa,,NJ,,,
Gentle Family Dentristy,+1 973-691-1200,"US-46, Budd Lake, NJ, 07828",https://www.buddlakedental.com/,,
Gersch Orthodontics,,"East Broad Street, Westfield, NJ, 07090",,,
Gerstenfield Dental,,NJ,,,
Gibbstown Dentistry,+1 856-599-1350,"Harmony Road, Gibbstown, NJ, 08027",https://www.gibbstowndentistry.com/,,
