name,address,phone,email,website
Somerset Dental Associates,"South Main Street, NJ",1-908-253-3660,,
Manville Family Dental,NJ,1-908-725-900,,
Smiles Unlimited Dental Center,"South Main Street, NJ",,,
A2Z Dental,NJ,1-9098-526-2224,,
Westfield Oral Surgery,"Lenox Avenue, Westfield, NJ, 07090",908-233-8088,westfieldoralsurgery@gmail.com,https://www.westfieldoralsurgery.com/
Pediatric Dental Associates,"South Maple Avenue, Ridgewood, NJ, 07450",1-201-652-7020,,https://pdaridgewood.com/
Teresa Oh,NJ,,,
Advanced Dental Care of Englewood,"North Dean Street, Englewood, NJ, 07631",(201) 579-6674,,https://miksadental.com/
Premier Arts Dental,"US 9, Freehold Township, NJ, 07728",1-732-702-2787,,https://www.premierartsdental.com/
Kurpis Center for Advanced Dentistry,NJ,,,
R.J. Taverna,NJ,,,
Unknown Dental Clinic,NJ,,,
DeMartino Advanced Cosmetic & Laser Dentistry,NJ,,,
Hillcrest Dental,NJ,,,
Richard L Lachenmayr & Associates,"3rd Avenue, Alpha, NJ, 08865",,,
Dr. James M. Fegan,NJ,,,
"Dr. John A. Fizer, DDS","Market Street, Trenton, NJ, 08608",,,
Capitol Smiles Dental,"South Warren Street, Trenton, NJ, 08608",,,
I Smile Dental,"North Broad Street, Trenton, NJ, 08608",,,
"Donald J. Miliner, DDS","West State Street, Trenton, NJ, 08618",,,
Cedar Grove Dental,"Cedar Grove Lane, Somerset, NJ, 08873",516-279-2922 ,Patientcare@thesmilist.com,https://www.cedargrovedental.com/
Modern Dental Vision,"North Olden Avenue, Trenton, NJ, 08638",,,
1100 Dental,"South Broad Street, Trenton, NJ, 08611",,,
Brodway Dental Arts,"Broadway, NJ",,,
Bright Star Sapphire,"Broadway, NJ",,,
"Morrone, Kaye, & Yucha Orthodontics",NJ,,,
Pompton Dental Arts,"Ringwood Avenue, Pompton Lakes, NJ, 07442",,,
"Shadi Vaghei, DMD","Hinchman Avenue, Wayne, NJ, 07470",,,
Smile Experience Orthodontics - Dr. Greg Rosenberg,"Hinchman Avenue, Wayne, NJ, 07470",,,
Piekarsky Orthodontic Associates,"Hinchman Avenue, Wayne, NJ, 07470",,,
Mini Dental Implant Solutions,"Hamburg Turnpike, Wayne, NJ, 07470",,,
"James Choe, D.D.S","Hamburg Turnpike, Wayne, NJ, 07470",,,
Smiling Faces Dental,"Washington Road, Parlin, NJ, 08859",732-257-2000,,https://www.smilingfacesdental.com
Ridge Family Dentistry,NJ,,,
Unknown Dental Clinic,NJ,,,
Dental Harmony of Hamilton,"Nottingham Way, Hamilton, NJ, 08690",16099817145,,
Brighter Dental,NJ,,,
Bayonne Smile Center,"Avenue C, Bayonne, NJ, 07305",,,
Terra Dental Center,NJ,+1 201 325 8900,,
Dr. Deepa Rupani DMD,"Ratzer Road, Wayne, NJ, 07470",,,
"Dr. Frank DiCicco, DMD","Ratzer Road, Wayne, NJ, 07470",,,
"Dr. Frank Ferrara, DMD","Ratzer Road, Wayne, NJ, 07470",,,
Grieder-Robert Melissa DDS,"Ratzer Road, Wayne, NJ, 07470",,,
Last John M DDS,"Ratzer Road, Wayne, NJ, 07470",,,
Medical Park Dentistry,"Ratzer Road, Wayne, NJ, 07470",,,
SEO Jason H DDS,"Ratzer Road, Wayne, NJ, 07470",,,
Wayne Smiles - Pediatric Dentistry of Wayne,"Ratzer Road, Wayne, NJ, 07470",,,
The Orthodontic Center Of Wayne - Dr. Sally Song,"Ratzer Road, Wayne, NJ, 07470",,,
"Dr. Harry A. Long, DMD","Ratzer Road, Wayne, NJ, 07470",,,
SmilePartnerz Dental Health Group-Dr. Frank DiCicco and Dr. Harry Long,"Ratzer Road, Wayne, NJ, 07470",,,
Caring Family Dental,"Valley Road, Wayne, NJ, 07470",,,
Fine Dental Care,"Valley Road, Wayne, NJ, 07470",,,
Schweighardt Lin,"Valley Road, Wayne, NJ, 07470",,,
Beachside Pediatric Dentistry,"Berkeley Avenue, Ocean Township, NJ, 07712",,,
Clifton Dental Associates,"Clifton Avenue, Clifton, NJ, 07013",1-973-779-1000,,https://cliftondental.com/
Dr Lesser,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Wayne Dental Care,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
"Dr. Thomas M. Scorziello, DMD","Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Wayne Orthodontics - Smiles By Lorino,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Franklin Lakes Orthodontics,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Bogota Dental Center,"US 46, Totowa, NJ, 07512",1-973-298-5856,,https://www.bogotadentistry.com/location/nj/totowa
Madison Ave Dental,NJ,,,
Family Dentistry,"Beachwood Boulevard, Beachwood, NJ, 08722",,,
Parsippany Family Dental,"Route 46 West, Parsippany, NJ, 07054",1-973-263-1770,,
"Marc H. Berley, DMD","NJ-35, Ocean Township, NJ, 07712",+1 732-531-8020,,https://www.ocean-newjersey-dentist.com/
Designer Smile,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Family Dental-Medical Center,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Elite Orthodontics,"Berdan Avenue, Wayne, NJ, 07470",,,
Soder Dianna,"Berdan Avenue, Wayne, NJ, 07470",,,
Lupo Marie,"Berdan Avenue, Wayne, NJ, 07470",,,
Diane C Blau DMD,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
NJ Root Canal,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Costello Oral Surgery Associates,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
"Dr. Albert F. Kuchler Jr, DMD","Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
North Jersey Oral Surgeons,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Chrystal Dental Care,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Al MDA PC,"NJ-23, Wayne, NJ, 07470",,,
Smile Li Dentistry LLC,NJ,,,
Unknown Dental Clinic,NJ,,,
Dental Health 360,NJ,,,
North Brunswick Family Dental & Orthodontics,NJ,,,
Unknown Dental Clinic,NJ,,,
A-1 Dental,NJ,,,
Dental Concepts,NJ,,,
"Joseph A. Battaglia, MS, D.M.D.","Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dr. Lori Vanderwende-Bleeker DMD PA,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
"Glow Dental Spa: Behshad Ahkami, DDS","Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Alexander Gerskowitz,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dr. Dennis Rivera,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Artista Dental Studio Wayne New Jersey,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Tamaro Frank a DDS,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Lafayette Family Dental Care,NJ,,,
Hawthorne Dental Associates,"Lafayette Avenue, NJ",,,
Jager Dentistry,NJ,,,
Popeck Family Dentistry,"North Broadway, Pennsville, NJ",856-678-6393,,https://www.pennsvillecosmeticdentist.com/
Brunswick Dental Group,NJ,,,
Kadar Orthodontics,"Egg Harbor Road, Sewell, NJ, 08080",,,
Unknown Dental Clinic,"NJ-35, Holmdel Township, NJ, 07733",,,
Alllied Dental of Old Bridge,"US 9 South, Parlin, NJ, 08859",732-553-9393,,http://www.allieddentalofoldbridge.com/
Christie Mary,"Valley Road, Wayne, NJ, 07470",,,
"Sam Romano, D.M.D.",NJ,,,
Central Dentistry,NJ,,,
Madison Dentistry & Implant Center,"268 Main Street, Madison, NJ, 07940",973-822-8003_973-822-8006,frontdesk@madisondentistryllc.com_madisondentistryllc@gmail.com,https://madisondentistryllc.com/
Washington Dental Associates,"Legion Drive, Bergenfield, NJ, 07621",,,
Prestige Dental,"Clifton Avenue, NJ",1-973-828-8397,,
Bergenfield Dental Associates,"West Church Street, Bergenfield, NJ, 07621",1-201-384-100,Drshahid@bergenfielddental.com,https://www.bergenfielddental.com/
Dalin Family Dentistry,"NJ Route 70, Manchester, NJ, 08759",1-732-323-9800,,
Montclair Dental Spa,"Claremont Ave, Montclair, NJ, 07042",973-744-1527,,https://montclairdentalspanj.com
Barclay Family Dental,"Barclay Farms Shopping Center, Cherry Hill, NJ, 08034",1-856-288-3708,frontdesk@barclayfamilydental.com,https://www.barclayfamilydental.com/
Aspen Dental,NJ,,,
Brdigewater Dental Group,NJ,,,
The Laser Dental Group of Westfield,NJ,,,
New Jersey Dental Arts,"Broad Street, Bloomfield, NJ, 07003",19737437575,,https://www.newjerseydentalarts.com/
Community Dental of Salem,"South Broadway, Pennsville, NJ, 08070",(856) 759-8973,,https://www.communitydentalsalem.com/
Brookside Family Dental,"Hoover Avenue, Bloomfield, NJ, 07003",19735666161,,
Strong Roots Dental,"273 Newark Avenue, Jersey City, NJ 07302;938 Hudson street, Hoboken, NJ 07030",551-553-4277_551-288-0255,strongrootsdentaljc@gmail.com; strongrootsdentalhoboken@gmail.com,https://www.strongrootsdental.com/
S Dental & Specialties,"Essex Street, Rochelle Park, NJ, 07662",201-343-8888,,
VSN Dental PC,"Route 9 North, Manalapan, NJ, 07726",732-795-6073,,
Marlen Elite Dental Wellness,"Kinderkamack Road, Suite 306, River Edge, NJ, 07661",201-880-6736,,https://www.marlenelitedental.com/
Premiere Dental of West Deptford,"Jessup Road, West Deptford, NJ, 08086",+1 856-845-3299,wdeptford@premieredental.com,https://www.premieredental.com/west-deptford-nj/
Dental & Implant Center of Edgewater,"River Road, Edgewater, NJ, 07020",1-201-943-4000,,https://www.dentist-edgewater.com
Jersey City Dental Spa,"Montgomery Street, Jersey City, NJ, 07302",1-201-451-1600,,https://www.dentalnspa.com
Leonia Dental,"Broad Avenue, Leonia, NJ, 07605",,,
Mt Laurel Dental and Implant Center,"Union Mill Road, Mt Laurel Township, NJ, 08054",+1 856-778-0022,,https://www.mtlaureldental.com
Comprehensive Dentistry,"Route 138 W, Wall Township, NJ, 07719",+1 732-556-9600,smile@cosmeticnj.com,https://cosmeticandgeneraldentist.com/
Glamorous Smile Dental Spa,"NJ 66, Neptune City, NJ, 07753",1-732-588-8238,ayman_khourshed@yahoo.com,https://glamoroussmiledentalspa.com/
Basking Ridge Dental Group,NJ,,,
Clementon Family Dentistry,"White Horse Pike, Clementon, NJ, 08021",1-856-783-4949,,https://www.clementonfamilydentistry.com/
Amara Dental,NJ,,,
Peninsula Advanced Dentistry,"Main Street, Eatontown, NJ, 07724",732-542-2326,,http://www.peninsulaadvanceddentistry.com/
Tenbrook Orthodontics,"Swedesboro Road, Mullica Hill, NJ, 08062",877-764-5310,info@tenbrookortho.com,https://www.tenbrookorthodontics.com/
Complete Dental Works - Teaneck,"Fort Lee Rd, Teaneck, NJ, 07666",201-836-4400,,https://www.completedentalworks.com
Beam Dental,"Lincoln Highway, Edison, NJ, 08817",+1 732-372-0288,,https://www.mybeamdental.com/
Beam St,"Washington Street, Hoboken, NJ, 07030",,,https://www.beam-st.com/
InSmile Dentistry,"Georgetown Franklin Turnpike, Skillman, NJ, 08558",,,
Unknown Dental Clinic,NJ,,,
Corrie J Crowe DDS,"Springdale Road, Cherry Hill, NJ, 08003",+1 856-258-4025,,https://www.drcrowedentistry.com/
John J. Choi DDS,"Sylvan Avenue, Englewood Cliffs, NJ, 07632",1-201-660-7871,,https://www.renuperio.com/
Journal Square Dental,"1 Journal Square Plaza, Jersey City, NJ, 07306",1-201-656-2221,contact@journalsquaredental.com,https://www.journalsquaredental.com/
Dental Care of Hopewell Crossing,NJ,,,
Livy Dental,"Livingston Avenue, New Brunswick, NJ, 08901",1-732-296-1010,info@livydental.com,https://www.livydental.com/
Dentist Vineland - South Jersey Pediatric Dental,"South Main Road, Vineland, NJ, 08360",1-856-367-5234,,https://www.sjpdental.com
Westwood Village Dental,"Westwood Avenue, Westwood, NJ, 07675",1-201-594-9991,,https://westwoodvillagedentalnj.com
Cross Keys Family Dental,NJ,,,
Midtown Dental Group,"75 Montgomery St Ste 503, Jersey City, NJ 07302",201-639-3483,jerseycity@midtowndentalgroup.com,https://midtowndentalgroup.com/
Unknown Dental Clinic,NJ,,,
Riverpark Dental Howell,"4034 US-9, Howell Township, NJ, 07731",(732) 751-4028,riverparkdentalhowell@gmail.com,https://riverparkdentalhowell.com
Valley Dental,"East Broad Street, Hopewell, NJ, 08525",,,
Dental Specialists of New Jersey,"Pompton Avenue, Verona, NJ, 07044",1973-577-5905,info@dentalspecialistsofnj.com,https://dentalspecialistsofnj.com/locations/verona
Family Dentist,NJ,,,
Montclair Pediatric Dental Care,NJ,,,
Montclair Dental Center,"Bloomfield Avenue, NJ",,,
Smiles By Design!,"US-46, Budd Lake, NJ, 07828",(973) 691-8200,,
Greater Essex Dental,"Branford Place, Newark, NJ, 07102",973-524-6880,hello@greateressexdental.com,https://greateressexdental.com/
Paterson Family Dental,NJ,,,
My Orthodontist,NJ,,,
Gentle Dental Spa,NJ,,,
"Sonal Jain, DDS, PA",NJ,,,
Gentle Family Dentristy,"US-46, Budd Lake, NJ, 07828",+1 973-691-1200,,https://www.buddlakedental.com/
Advanced Smile Dentistry,NJ,,,
Stiles Dental,NJ,,,
Eastern Dental,"Route 37 West, NJ",,,
Atlantic Dental,NJ,,,
Omega Dental Clinic,NJ,,,
iSmile Dental Care,NJ,,,
Unknown Dental Clinic,NJ,,,
Itsy Bitsy Dental,NJ,,,
Unknown Dental Clinic,NJ,,,
Unknown Dental Clinic,NJ,,,
Unknown Dental Clinic,NJ,,,
Colts Neck Smiles - Dr. Dilini Peiris D.D.S.,"NJ-34, Colts Neck, NJ, 07722",,,
Elm Dental,"White Horse Pike, Hammondton, NJ, 08037",1-609-561-1121,,https://www.zdental.net/elm-dental-associates/
Elizabeth Oral Surgery Group,"N Broad St, #2C, Elizabeth, NJ, 07208",1-908-585-4990,contact@elizabethoralsurgerygroup.com,https://elizabethoralsurgerygroup.com/
Unknown Dental Clinic,NJ,,,
Laurence Breiterman,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Dr. Shoshana Sperling,"Berdan Avenue, Wayne, NJ, 07470",,,
JSC Dentistry,"Berdan Avenue, Wayne, NJ, 07470",,,
Eastern Dental,"Parkway Avenue, Ewing, NJ, 08628",,,
Mount Olive Family Dental,"Flanders - Bartley Road, Flanders, NJ, 07836",+1 973-584-5550,,https://www.flandersdentist.com/
Rand Center for Dentistry,"US 206, Flanders, NJ, 07836",+1 973-370-8917,frontdesk@RandDental.com,https://www.randdental.com/
Ocean Dental Care,NJ,,,
Advanced Dental Care Of Vernon,"Route 94, Vernon Township, NJ",1-973-209-4944,,https://www.zdental.net/advanced-dental-care-of-vernon/
Next Level Dental,"Avenue C, Bayonne, NJ, 07002",1-201-339-8019,,https://www.nextleveldentalnj.net
Prestige Dental,"Clifton Avenue, Clifton, NJ, 07013",1-862-777-9439,,https://drdoktorman.com/
Emergency Dentist of Hawthorne NJ,"Lafayette Avenue, Hawthorne, NJ, 07506",1-973-323-2235,,https://emergencydentisthawthornenj.com/
Cute Smile,"Summit Avenue, Hackensack, NJ, 07601",1-201-778-225,,https://cutesmilenj.com
Good Morning Dental,"Main Street, Hackensack, NJ, 07601",1-201-820-3600,,https://goodmorningdentalnj.com
Cranbury Dental Care,"Brier Hill Court, East Brunswick, NJ, 08816",1-732-390-9093,cranburydentalcare@gmail.com,https://cranburydentalcare.com/
Advanced Palmyra Dentistry,"West Broad Street, Palmyra, NJ, 08065",1-856-786-7117,apddental@gmail.com,https://advancedpalmyradentistry.com/
Beachwood Dental Arts,NJ,1-732-349-555,,
Unknown Dental Clinic,"Route 37 West, NJ",15-7325-657-9191,,
East Madison Dental,"Piermont Road, Tenafly, NJ, 07670",+1 201-735-1190,,https://www.emdental.com/tenafly-nj/
Smile Flossophy,"Princeton-Hightstown Road, West Windsor Township, NJ, 08550",1-609-862-222,,https://smileflossophy.com/
Frank R. DePaola DDS & Associates,"Maxwell Lane, Hoboken, NJ, 07030",1-201-792-9400,,https://thesmilist.com/hoboken-dentist/
Diamond Braces Orthodontist: Braces & Invisalign,"West Main Street, NJ",,,
Advanced Periodontics of New Jersey,NJ,+1 201 9407002,,https://advancedperionj.com/
Dental World,NJ,,,
Dentistry for Children,NJ,,,
Orthodontic Specialist PC,"Middlesex Avenue, Metuchen, NJ, 08840",(732) 548-5008,,https://orthospecialistpc.com/
Unknown Dental Clinic,NJ,,,
Robert Del Presto D.M.D.,NJ,1-732-840-1300,,
Pablo Acuna Dental Group,"Washington Avenue, Belleville, NJ, 07109",,,
Mercer Oral Surgery,"Nami Lane, Hamilton Township, NJ, 08619",,,
Family Dentistry 2000,"North 6th Street, Newark, NJ",,,
Unknown Dental Clinic,NJ,,,
Aspen Dental,NJ,,,
Family Friendly Dental,NJ,,,
Family and Cosmetic Dentistry,NJ,,,
Poussin Dental,"Saint Paul Street, Westfield, NJ, 07090",+1 908-232-3550,care@poussindental.com,https://poussindental.com
East Madison Dental,"East Madison Avenue, Dumont, NJ, 07628",+1 201-501-8282,,https://www.emdental.com/dumont-nj/
Emerson Family Dental,"Old Hook Road Suite, Emerson, NJ, 07630",,,
The Smile Center of Wrightstown,"Monmouth Road, Wrightstown, NJ, 08562",,,
Unknown Dental Clinic,NJ,,,
Cleary Dental Family & Cosmetic Dentistry,"N Haddon Ave, Suite 7, Haddonfield, NJ, 08033",1-856-428-3050,,https://clearydental.com/
Dr. Dental,"US Highway 1 South, Edison, NJ, 08817",+1 732-248-3368,,https://www.mydrdental.com/location/new-jersey/edison/
VIP Smiles By Dr Julie Molin,"Maple Avenue, Red Bank, NJ, 07701",+1 732-741-8040,frontdesk@juliemolin.com,https://www.juliemolin.com/
Clemente Orthodontics of Ridgewood,"W Ridgewood Ave, Ridgewood, NJ, 07450",1-201-447-2888,contact@clementeorthodontics.com,https://clementeorthodontics.com/ridgewood-location/
"Garden State Dental Design / Arthur Szabela, D.D.S.","Raritan Road, Clark, NJ, 07066",732-669-7227,,https://www.gardenstatedentaldesign.com/
Implant Dentistry Center,NJ,,,
Diamond Braces,NJ,,,
Tiny Teeth of Lakewood,"NJ 70, Lakewood, NJ, 08701",1-848-245-779,,https://tinyteethnj.com/
Alpine Dental,NJ,,,
