Name,Address,Phone,Website,Rating,Email
Maiden Lane Dental,"80 Maiden Ln #702, New York, NY 10038, USA",(212) 509-4585,https://maidenlanedental.com/,4.9,info@maidenlanedental.com
Zinman Tuvia DDS,"227 Madison St # 1249, New York, NY 10002, USA",(212) 238-7800,,5,
"Frist, Allen, DDS","227 Madison St, New York, NY 10002, USA",(212) 441-5500,http://www.nychealthandhospitals.org/,,
"Dr. Mary Varghese, DDS","227 Madison St, New York, NY 10002, USA",(212) 238-7506,,5,
Glenn Chiarello DDS FAGD,"111 Broadway # 1701, New York, NY 10006, USA",(212) 321-1800,https://www.chiarellodds.com/,5,
"Dr. Howard Kaufman, DDS","225 Broadway, New York, NY 10007, USA",(212) 732-7400,,,
Kurtz Joel DDS,"225 Broadway # 1420, New York, NY 10007, USA",(212) 964-1609,,,
"Mei, Zhiling, DDS","227 Madison St, New York, NY 10002, USA",(212) 238-7897,http://www.nychealthandhospitals.org/gouverneur/,5,
Dentistry at The Heights Affiliated with The Smilist Dental,"142 Joralemon St # 12C, Brooklyn Heights, NY 11201, USA",(718) 625-2116,https://thesmilist.com/brooklyn-heights-dentist/,4.7,
Robert Weller DDS PC,"16 Court St, Brooklyn, NY 11241, USA",(718) 251-1166,,,
Feldstein Michael J DDS,"83 Maiden Ln # 9, New York, NY 10038, USA",(212) 780-4400,,1,
The Exchange Dental Group,"39 Broadway Suite 2115, New York, NY 10006, USA",(212) 422-9229,https://www.theexchangedentalgroup.com/,4.9,chosen-sprite@2x.png
Fishman Keryn L DDS,"111 John St #910, New York, NY 10038, USA",(212) 410-5555,,,
Klein & Rubinstein,"32 Court St # 1401, Brooklyn, NY 11201, USA",(718) 636-0435,https://www.brooklynheightscosmeticdentistry.com/,4.9,
"Brooklyn Heights Orthodontics: Susan Liebman, DMD","185 Montague St 8th floor, Brooklyn, NY 11201, USA",(718) 416-6368,https://www.brooklyn-orthodontist.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,4.8,
Schwartz Jessica DDS,"225 Broadway # 101, New York, NY 10007, USA",(212) 374-9500,http://www.manhattan-dental-specialty.com/,1,
Greenberg Martin DDS,"16 Court St #2211, Brooklyn, NY 11241, USA",(718) 638-3388,,,
Chatham Square Oral & Maxillofacial Surgery,"217 Park Row # 4b, New York, NY 10038, USA",(212) 233-4934,http://chathamsquareoralsurgery.com/,4.9,
Tribeca Dental Design,"55 Murray St, New York, NY 10007, USA",(212) 227-9127,http://tribecadentaldesign.com/,3.9,
"Dr. Lina Frost, DMD","80 Wall St, New York, NY 10005, USA",(212) 742-2070,,4,
Green Partners LLC,"225 Broadway #1901, New York, NY 10007, USA",,,1,
Tribeca Dental Studio - Adult and Pediatric Exceptional Dental Care,"54 Warren St, New York, NY 10007, USA",(212) 561-5303,https://www.tribecadentalstudio.com/,4.5,info@nytds.com
Magic Smile,"291 Broadway #1000, New York, NY 10007, USA",(646) 490-4323,http://www.nycteethwhiteningservice.com/teeth-whitening-services.html,4.8,support@magicsmileus.com
Li Yan DDS,"128 Mott St STE 606, New York, NY 10013, USA",(212) 966-9822,,2.3,
Greene Street Dental,"72 Greene St Floor 3, New York, NY 10012, USA",(718) 550-2507,https://greenestreetdental.com/,4.8,
"Dr. Lisa J. Ginzler, DDS","39 Broadway, New York, NY 10006, USA",(212) 422-9229,http://theexchangedentalgroup.com/,,
Dental Group of Lower Manhattan,"111 Broadway # 1701, New York, NY 10006, USA",(212) 267-0001,https://weence.com/dentists/new-york-1/dental-group-of-lower-manhattan/,,
"Dr. Olga Sobol, DDS","375 S End Ave, New York, NY 10280, USA",(212) 619-4070,http://olgasoboldds.com/,5,
"Darryl Wu, DDS","41 Elizabeth St #303, New York, NY 10013, USA",(212) 925-7757,https://weence.com/dentists/new-york-1/darryl-wu-dds/,3.4,
Kitsos Elizabeth DDS,"111 Broadway # 17, New York, NY 10006, USA",(212) 267-1884,,,
Ingeram Donald DDS,"111 Broadway # 17, New York, NY 10006, USA",(212) 233-2095,,,
Yakoby Sima DDS,"111 Broadway # 1707, New York, NY 10006, USA",(212) 267-1884,,,
Goldberger Heather DDS,"32 Court St #301, Brooklyn, NY 11201, USA",(718) 625-4441,,5,
Santomauro Thomas L DDS,"32 Court St #1100, Brooklyn, NY 11201, USA",(718) 783-2777,,3.7,
Dr. Todd Goldstein,"39 Broadway Suite 2115, New York, NY 10006, USA",(212) 422-9229,,5,
Dr. Cynthia Gomez - Periodontist,"19 Murray St, New York, NY 10007, USA",(212) 941-9095,https://www.nycperiolaser.com/,5,
Holistic Dentists,"17 Park Pl, New York, NY 10007, USA",(212) 732-2200,http://www.holistic-dentists.com/,4.8,reception@holistic-dentists.com
Holistic Dentists,"17 Park Pl, New York, NY 10007, USA",(212) 732-2200,http://www.holistic-dentists.com/,4.8,reception@holistic-dentists.com
"Marta Pisinska, DDS","760 Broadway, Brooklyn, NY 11206, USA",(718) 963-8310,,3,
Muscat Pauline,"760 Broadway, Brooklyn, NY 11206, USA",(718) 963-8000,http://www.nyc.gov/html/hhc/woodhull/html/home/home.shtml,,nyc_white@x2.png
ArdsleyOrthodontics:,"504 Grand St #M5, New York, NY 10002, USA",(914) 358-4139,http://www.ardsleyorthodontics.com/,4.4,info@ardsleyorthodontics.com
Straight Set Orthodontics - Lower East Side,"50 Clinton St, New York, NY 10002, USA",(212) 475-0051,https://www.straightsetortho.com/lower-east-side,4.6,HelloSI@straightsetortho.com;hellopj@straightsetortho.com;elizabeth@glencoveorthodontics.com;genevieve@straightsetortho.com;melanie@straightsetortho.com;jennifer@straightsetortho.com;galit@newmansortho.com;brittany@jacksonheightsorthodontics.com;info@straightsetortho.com;anais@foresthillsorthodontics.com;nelly@newmansortho.com
Hanson Place Orthodontics,"1 Hanson Pl #702, Brooklyn, NY 11243, USA",(718) 622-2695,https://www.hansonplaceortho.com/,4.7,info@hansonplaceortho.com
Ryerson Smiles,"309 Lafayette Ave, Brooklyn, NY 11238, USA",(718) 638-3232,http://www.ryersonsmiles.com/,4.9,yandmd@me.com
Scantlebury Orthodontics,"10 Plaza Street East #1h, Brooklyn, NY 11238, USA",(718) 230-5046,https://www.scantlebury-orthodontics.com/,4.8,info@scantlebury-orthodontics.com
Reyes Reneida DDS,"1 Hanson Pl #706, Brooklyn, NY 11243, USA",(718) 230-0380,,5,
"Dr. Sergey B. Belenkiy, DMD","10 Plaza St E, Brooklyn, NY 11238, USA",(718) 622-8020,,4.4,
Quarcoo Stephen DDS,"1 Hanson Pl #706, Brooklyn, NY 11243, USA",(718) 638-2900,,,
Kamisher Martin DDS,"1 Hanson Pl #709, Brooklyn, NY 11243, USA",(718) 638-3388,,,
"Dr. Lester Toporovsky, DDS","177 Livingston St, Brooklyn, NY 11201, USA",(718) 403-0700,http://downtownbrooklyn-dental.com/,1,appointment@hansonplacedental.com
"Izabella Belenkiy, DDS","10 Plaza St E #1F, Brooklyn, NY 11238, USA",(718) 622-8020,http://www.finestdentalcare.com/,,finestdentalcare@yahoo.com
Ayanna Poindexter,"309 Lafayette Ave, Brooklyn, NY 11238, USA",(718) 638-3232,https://ryersonsmiles.com/,4.3,yandmd@me.com
"Dr. Victoria Shklovsky, DDS","81 Willoughby St #4, Brooklyn, NY 11201, USA",(718) 646-2828,,2.3,
Brooklyn Periodontics & Implant Dentistry,"26 Court St #1507, Brooklyn, NY 11242, USA",(718) 643-1953,http://brooklynperiodontics.com/,4.9,user@domain.com
"Dr. Nathan Trotter, DMD","142 Joralemon St # 12C, Brooklyn, NY 11201, USA",(718) 625-2116,http://www.heightsdentistry.com/,,
"Dr. Kathy Yeung, DMD","227 Madison St, New York, NY 10002, USA",,,,
Betances Health Center,"280 Henry St, New York, NY 10002, USA",(212) 227-8401,http://www.betances.org/,3.7,info@betances.org;user@domain.com
Klein Laura A DDS,"32 Court St # 1401, Brooklyn, NY 11201, USA",(718) 636-0435,http://www.brooklynheightscosmeticdentistry.com/,5,
Santomauro,"32 Court St #1100, Brooklyn, NY 11201, USA",(718) 783-2777,,,
Ollivierre-Noe Debbie R DDS,"100 N Portland Ave, Brooklyn, NY 11205, USA",(718) 260-7500,,1,
38 Meserole Dental,"38 Meserole St, Brooklyn, NY 11206, USA",(718) 709-3902,,4.6,
Ramakrishnan Pradeep K DDS,"23 Bond St, Brooklyn, NY 11201, USA",(718) 237-0222,,,
"Dr. Matthew S. Lieberman, DMD","33 8th Ave, Brooklyn, NY 11217, USA",(718) 636-8552,http://www.drmatthewlieberman.com/,4.6,matthewlieberman@yahoo.com
"Dr. Charles T. Beard, DDS","1456 Fulton St, Brooklyn, NY 11216, USA",(718) 636-4500,http://www.bsfhc.org/,3.3,sshahbaz@bsfhc.com;info@bsfhc.org
"Antonia Sarris, LCSW","25 Chapel St, Brooklyn, NY 11201, USA",(718) 398-0153,http://www.ccbq.org/,5,
"Stanley Harris, DDS, PC","185 Montague St 8th floor, Brooklyn, NY 11201, USA",(347) 252-3350,http://www.dentalbrooklynheights.com/,4.9,
Brooklyn Heights Dental,"44 Court St 8th Flr, Ste 808, Brooklyn, NY 11201, USA",(718) 857-6639,https://www.brooklynheightsdental.com/,4.9,
"Dr. Jonathan Waltner, DDS","390B Berry St, Brooklyn, NY 11249, USA",(718) 218-7210,https://williamsburgpediatricdental.com/,3.7,wpd390@gmail.com
Jerrold F. Heller & Associates D.D.S.,"425 Grand St Lobby, New York, NY 10002, USA",(646) 205-7038,https://www.drjerryhellerdds.com/?utm_source=gmb_auth,4.8,
Park Slope Dentistry,"586A President St, Brooklyn, NY 11215, USA",(718) 398-6300,https://www.parkslopedentistry.com/,4.9,parkslopedentistry@gmail.com
"Dr. Dmitry Gerber, DDS","150 Delancey St, New York, NY 10002, USA",(212) 460-5121,https://dmitrygerberdds.setmore.com/beta,3.5,dgerberdds@gmail.com
Alan Rosen PC,"80 Delancey St, New York, NY 10002, USA",(212) 982-3980,,,
Cambridge Dental,"2449, 2449, #999, 999 Fulton St # A, Brooklyn, NY 11238, USA",(718) 857-5400,http://www.cambridgedentalny.com/our-practice/meet-dr-johnson/,4.9,cambridgedental@gmail.com
Brownstone Dental/Brownstone Pediatric Dentistry,"119 Montague St, Brooklyn, NY 11201, USA",(718) 855-2855,http://www.brownstonedental.com/,4.9,info@brownstonedental.com
Dr. Yanina Kravets DDS,"215 5th Ave, Brooklyn, NY 11215, USA",(718) 789-2400,http://www.gentledentistryparkslope.com/,4,
Kaziyev Yuriy DDS,"851 Manhattan Ave, Brooklyn, NY 11222, USA",(718) 383-1160,,3,
"Dr. Elana Nogid, DDS","234 Hewes St, Brooklyn, NY 11211, USA",(718) 782-9425,,2.7,
Zhang Becky,"11 E Broadway # 15, New York, NY 10038, USA",(212) 732-5896,,,
All Ace Dental PC,"104 Delancey St, New York, NY 10002, USA",(212) 677-5461,,,
Middle Village Dental Group,"74-07 Metropolitan Ave, Flushing, NY 11379, USA",(718) 502-8809,https://www.middlevillagedentalgroup.com/,3.5,
"Babak Behmanesh,DDS,PC","6354 Fresh Pond Rd, Ridgewood, NY 11385, USA",(718) 418-5555,,3.6,
Sokal Eva J DDS,"68-63 Fresh Pond Rd, Ridgewood, NY 11385, USA",(718) 417-4544,http://www.eurodentalstudiony.com/,4.4,
"Dr. Nicole A. Fleming, DMD","2094 Pitkin Ave, Brooklyn, NY 11207, USA",(718) 240-0400,,,
Park Dental Care,"408 Knickerbocker Ave #2nd, Brooklyn, NY 11237, USA",(718) 573-3333,http://www.parkdentalbk.com/,4.2,parkdentalcarebk@gmail.com
Takhalova Larisa DDS,"8028 Cooper Ave # 6116, Glendale, NY 11385, USA",(718) 416-3937,,,
Atlas Park Dental,"80-28 Cooper Ave #207, Glendale, NY 11385, USA",(718) 894-2110,https://www.atlasparkdental.com/?y_source=1_OTgxMDUwNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,4.5,
Pavlica D DDS,"6806 Fresh Pond Rd, Ridgewood, NY 11385, USA",(718) 366-0775,,,
General Family Dental,"7530 Metropolitan Ave, Flushing, NY 11379, USA",(718) 894-4474,,,
Glenridge Orthodontics,"65-34 Myrtle Ave, Glendale, NY 11385, USA",(718) 386-8728,https://www.smiletodayortho.com/,4.9,
Dental Artes LLC. Waldo Cubero DDS,"681 a Seneca Ave, Ridgewood, NY 11385, USA",(347) 987-3510,https://www.dentalartesllc.com/,4.7,cubero@dentalartesllc.com
Dr. Joanna Kowalewski D.D.S.,"69-13 Forest Ave, Ridgewood, NY 11385, USA",(718) 417-8453,,4.5,
Best Smile Dental,"1670 Putnam Ave # 1R, Ridgewood, NY 11385, USA",(718) 366-3700,http://www.bestsmiledentalny.com/,4.4,bsmile808@aol.com
Lee Kye L DDS,"6079 Myrtle Ave, Ridgewood, NY 11385, USA",(718) 381-2468,,,
"Dr. Juan C. Portela, DMD","6222 Myrtle Ave, Glendale, NY 11385, USA",(718) 821-7432,http://www.simplysmiledental.com/,5,
"Dr. Jan P. Gonzalez-Torres, DDS","264 Jamaica Ave, Brooklyn, NY 11207, USA",(718) 827-2554,,,
Bonet Miriam DDS,"264 Jamaica Ave, Brooklyn, NY 11207, USA",(718) 827-2554,http://www.cypresshillsdental.com/,3.1,cypressdent@gmail.com
Bonet Miriam DDS,"264 Jamaica Ave, Brooklyn, NY 11207, USA",(718) 827-2554,http://www.cypresshillsdental.com/,3.1,cypressdent@gmail.com
Albandoz Fuent Lynda M DDS,"264 Jamaica Ave, Brooklyn, NY 11207, USA",(718) 827-2554,,,
Dr. Jacobs Family Dental,"60-79 Myrtle Ave, Ridgewood, NY 11385, USA",(718) 366-0662,,3.8,
Eurodental Studio,"68-63 Fresh Pond Rd, Ridgewood, NY 11385, USA",(718) 417-4544,https://www.eurodentalstudiony.com/,4.7,
"Simply Smile Dental, Pc","6222 Myrtle Ave, Glendale, NY 11385, USA",(718) 821-7432,http://simplysmiledental.com/,4.4,
Forest Park Dental,"69-45 Myrtle Ave, Glendale, NY 11385, USA",(718) 821-4680,http://www.forestparkdentalny.com/,4.6,
Grossman Marvin DDS,"7613 Myrtle Ave, Glendale, NY 11385, USA",(718) 821-9464,,1,
Metropolitan Family Dental,"73-28 Metropolitan Ave # A, Middle Village, NY 11379, USA",(718) 326-0056,https://www.dentistmiddlevillage.com/,5,dentistmiddlevillage@gmail.com
Kopacz Elzbieta DDS,"6548 Grand Ave, Flushing, NY 11378, USA",(718) 326-8982,,4.7,
Williams Warren A DDS,"2094 Pitkin Ave, Brooklyn, NY 11207, USA",(718) 240-0400,,1,
"Maspeth Dental: Howard E. Lorber, DDS","66-62 Grand Ave, Maspeth, NY 11378, USA",(718) 779-9000,https://www.maspethsmiledoc.com/about-us.html,5,
Fitzsimons & Hagan Dentistry,"58-29 69th Ln, Maspeth, NY 11378, USA",(718) 429-6931,https://www.fandhdentistry.com/,5,
"Eliot Dental: Edmond A. Demirdjan, DDS","76-17 Eliot Ave, Middle Village, NY 11379, USA",(718) 426-6959,https://eliotdental.com/,4.8,
Santa Lo Cascio DDS,"70-16 Fresh Pond Rd, Ridgewood, NY 11385, USA",(718) 628-6588,http://santa-lo-cascio-dds.poi.place/,2.4,
De La Cruz Moraima DDS,"5523 69th St, Flushing, NY 11378, USA",(718) 898-6050,http://www.maspethdentistry.com/,5,info@maspethdentistry.com
Broadway Family Dental,"372 Stockton St, Brooklyn, NY 11206, USA",(718) 455-4400,https://www.broadwayfamilydentalpc.com/,4.5,
Khan Orthodontic Group of Maspeth,"55-36 69th Pl, Queens, NY 11378, USA",(718) 533-6200,https://skhanortho.com/?utm_source=google.com&utm_medium=business+profile&utm_campaign=,4.5,
Rosenberg & Maloff,"1008 Gates Ave, Brooklyn, NY 11221, USA",(718) 452-1307,,2.3,
The Jungle Lounge,"248 McKibbin St #4F, Brooklyn, NY 11206, USA",(917) 374-8690,http://www.thejunglelounge.com/,,info@thejunglelounge.com
Grand Smile Dental of Maspeth,"6977 Grand Ave, Maspeth, NY 11378, USA",(718) 255-1381,https://grandsmiledental.com/,4.8,
Castellano Dental Art - Felipe S. Vargas DDS,"77-04 Jamaica Ave, Jamaica, NY 11421, USA",(718) 296-0076,http://www.castellanodentalart.com/,2.9,
Dr. Roxana Rotman Dentist,"7530 Metropolitan Ave, Middle Village, NY 11379, USA",(718) 894-4475,,4.6,
"Dr. Florica Rotman, DDS","75-30 Metropolitan Ave, Middle Village, NY 11379, USA",(718) 894-4475,,5,
"Maspeth Dental: Mark D. Lorber, DDS","66-62 Grand Ave, Maspeth, NY 11378, USA",(718) 779-9000,https://maspethsmiledoc.com/,4.8,
Jakubowitz David DDS,"68-35 Myrtle Ave, Glendale, NY 11385, USA",(718) 821-0170,,5,
Dr Fernando Cordero,"341 St Nicholas Ave #3, Ridgewood, NY 11385, USA",(347) 844-9797,http://fernandocorderodmd.com/,3.6,
Fernandez Ana L DDS,"1640 Madison St Ste 2, Flushing, NY 11385, USA",(718) 456-0751,,1,
Pura Dental Graham Avenue,"28 Graham Ave, Brooklyn, NY 11206, USA",(718) 218-6600,https://puradentalcenter.com/,4.7,
Dr. Elliot Sabbagh,"28 Graham Ave, Brooklyn, NY 11206, USA",(718) 218-6600,http://www.ismilefamily.com/locations,3.1,
"Dr. Roberta H. Schreiner, DDS","3080 Atlantic Ave, Brooklyn, NY 11208, USA",(718) 647-0240,,1,
Fernandez Dental Office Inc,"1640 Madison St, Ridgewood, NY 11385, USA",(718) 456-0751,,3.1,
Liu Christina L DDS,"6835 Myrtle Ave, Glendale, NY 11385, USA",(718) 417-6431,,5,
Universal Dental Arts,"169 Wyckoff Ave, Brooklyn, NY 11237, USA",(646) 393-5454,http://www.universaldentalarts.com/,4.4,univdent@gmail.com
"Dr. Franklin F. Fernandez, DDS","16-40 Madison St Ste 1, Ridgewood, NY 11385, USA",(718) 456-0751,,3.6,
New Image Dental,"341 St Nicholas Ave #3, Ridgewood, NY 11385, USA",(347) 844-9797,http://www.fernandocorderodmd.com/,4.7,info@fernandocorderodmd.com
"Dr. Frank M. Bone, DDS","1670 Putnam Ave, Ridgewood, NY 11385, USA",(718) 366-3700,http://www.bestsmiledentalny.com/our-practice/meet-dr-bon%C3%A9/,5,
Pandrea Mark DDS,"7140 66th St, Glendale, NY 11385, USA",(718) 386-2312,,4.1,
Khanijou Pradeep DDS,"120 Grant Ave, Brooklyn, NY 11208, USA",(718) 827-6565,https://www.pradeepkhanijoudds.com/about-me,1,pradeepkhanijoudds@gmail.com
Dr. Ruben D. Cueto DDS,"278 Wilson Ave, Brooklyn, NY 11237, USA",(718) 455-7600,,,
"Dr. Jim Gharda, DMD","6534 Myrtle Ave, Glendale, NY 11385, USA",,,5,
Sbaschnig Fred w DDS,"5801 69th Ave, Ridgewood, NY 11385, USA",(718) 497-4613,,,
Rotman Sem DDS,"7530 Metropolitan Ave, Flushing, NY 11379, USA",(718) 894-4474,,,
University Dental Associates,"330 W 42nd St, New York, NY 10036, USA",(212) 947-4280,https://dental.nyu.edu/,,
Devonshire House,"28 E 10th St, New York, NY 10003, USA",(212) 254-2053,,3.2,
Newport Centre Dental,"30 Mall Dr W, Jersey City, NJ 07310, USA",(201) 626-2500,https://www.simon.com/mall/newport-centre/stores/newport-centre-dental,1.6,
The Manhattan Dentist - Elliot Davis D.D.S.,"80 5th Ave #1607, New York, NY 10011, USA",(212) 645-9255,https://themanhattandentist.com/,5,smile@themanhattandentist.com;Smile@TheManhattanDentist.com
Lux Smiles NYC,"7 Gramercy Park W Suite C1-B, New York, NY 10003, USA",(332) 244-4066,https://www.luxsmilesnyc.com/,4.9,office@luxsmilesnyc.com
West 43rd St Dental Services PLLC - HMC DENTAL,"311 W 43rd St Suite 405, New York, NY 10036, USA",(212) 581-5050,http://www.hmc-dental.com/,4.9,reception@hmc-dental.com
Rise Dental Studio - Dr. Justin Rashbaum,"1410 Broadway Suite 3004, New York, NY 10018, USA",(646) 906-8645,https://www.risedentalstudio.com/,4.8,
"Dr. Julien Zenker, DMD","7 Pennsylvania Plaza #302, New York, NY 10001, USA",(212) 736-0670,http://www.pennplazadental.com/,5,pennplazadental@gmail.com
"Dr. Julien Zenker, DMD","7 Pennsylvania Plaza #302, New York, NY 10001, USA",(212) 736-0670,http://www.pennplazadental.com/,5,pennplazadental@gmail.com
Lauren Becker DDS,"15 W 26th St #10r, New York, NY 10010, USA",(929) 284-3944,https://doctorlaurenbecker.com/Index.asp,5,Office@DoctorLaurenBecker.com;info@weomedia.com
QUALITY DENTAL CARE OF NEW YORK,"161 Madison Ave #8ne, New York, NY 10016, USA",(212) 532-3893,http://www.qualitydentalcareny.com/,4.8,info@qualitydentalcareny.com
Penn Plaza Dental Center,"7 Pennsylvania Plaza #302, New York, NY 10001, USA",(212) 736-0670,http://www.pennplazadental.com/,4.3,pennplazadental@gmail.com
Penn Plaza Dental Center,"7 Pennsylvania Plaza #302, New York, NY 10001, USA",(212) 736-0670,http://www.pennplazadental.com/,4.3,pennplazadental@gmail.com
My NYC Dentist - 34th Street Dental,"225 W 35th St # 2, New York, NY 10001, USA",(212) 564-8164,http://www.mynyc-dentist.com/,4.8,
NoHo Dental - Dr. Stanton Young,"14 Washington Square S # 606, New York, NY 10012, USA",(212) 673-7381,https://nohodental.com/,5,email@address.com
All American Smile Dental Studios,"161 Madison Ave, New York, NY 10016, USA",(212) 252-8893,http://www.benjamindds.com/,4.8,info@benjamindds.com
All American Smile Dental Studios,"161 Madison Ave, New York, NY 10016, USA",(212) 252-8893,http://www.benjamindds.com/,4.8,info@benjamindds.com
Dr. Steven Cordoves - DDS,"1182 Broadway #4B, New York, NY 10001, USA",(212) 251-0044,http://www.coresmiles.com/,5,info@coresmiles.com
My NYC Dentist - 23rd Street Dental,"49 W 23rd St 12th Floor, New York, NY 10010, USA",(212) 206-7215,https://www.mynyc-dentist.com/23rdst.php,4.5,My23rdstdentist@gmail.com
BrismanDental,"31 Washington Square W, New York, NY 10011, USA",(212) 673-6900,http://www.davidbrismandmd.com/,4.9,
Ekelman Nancy R DDS,"8 Gramercy Pk S, New York, NY 10003, USA",(212) 505-8787,http://www.ekelmanperio.com/,5,ekelmanperio@gmail.com
Dr. Christine H Phan DDS,"161 Madison Ave Suite 8SW, New York, NY 10016, USA",(212) 686-7077,http://cpdds.com/,5,info@cpdds.com
"Dr. Emiliya Yakubova, DDS","161 Madison Ave, New York, NY 10016, USA",(212) 532-3893,https://www.qualitydentalcareny.com/our-practice/dr-emiliya-yakubova/,5,info@qualitydentalcareny.com
CitiDentalGroup - A Dental365 Company,"240 Madison Ave 12th floor, New York, NY 10016, USA",(212) 685-2890,https://www.godental365.com/location/ny/new-york-county/citidentalgroup-a-dental365-company?utm_source=gbp&utm_medium=organic,4.8,
Lehman Kevin V DDS,"154 W 14th St # 4i, New York, NY 10011, USA",(212) 777-7727,http://www.dentalartsmanhattan.com/,4.7,accounts@dentalartsmanhattan.com
"Manhattan Dental Spa: John Vargas DDS, Allison Gordon DMD, & Mitchell Charnas DMD","200 Madison Ave Suite 2201, New York, NY 10016, USA",(212) 683-2530,http://www.manhattandentalspa.com/?utm_source=gmb&utm_medium=organic,4.9,info@manhattandentalspa.com
"Dr. Anu Gupta, DDS","39 W 32nd St, New York, NY 10001, USA",(917) 301-2498,https://www.anuguptadds.com/,4.6,contact@anuguptadds.com
Dentistry Beyond Smile: Magundayao Felipa P DDS,"30 E 40th St, New York, NY 10016, USA",(212) 286-8053,https://drfenyc.com/,5,matt@pixelspread.com;impallari@gmail.com;hello@rfuenzalida.com
Jin Jie DDS,"274 Madison Ave # 1201, New York, NY 10016, USA",(212) 681-8799,,5,
Tricorache Ioana DDS,"31 Washington Square W # 1R, New York, NY 10011, USA",(212) 539-0805,http://www.teeththatsparkle.com/,5,info@teeththatsparkle.com;jtofficenyc@gmail.com
Joanna Tricorache,"31 Washington Pl, New York, NY 10011, USA",(212) 539-0805,http://joannadds.com/,5,
Manhattan Dental Studio,"358 5th Ave #1005, New York, NY 10001, USA",(212) 685-2476,http://www.manhattandentalstudio.com/,4.9,
Midtown Dental Group Fashion District,"241 W 37th St Ground Floor, New York, NY 10018, USA",(212) 730-4440,http://www.midtowndentalgroup.com/,4.9,inquiry@midtowndentalgroup.com
