Name,Phone,Email,Website,Address,Source
California FBA Prep Center | E-commerce Fulfillment Center | 3PL Warehouse,(310) 752-9995,,https://www.californiafbaprep.com/,19201 S Reyes Ave Suite D15,Google Maps
Miniso Depot CA Inc,(323) 262-0950,,,5620 Lindbergh Ln,Google Maps
PPS Fulfillment LLC,(323) 238-9933,,http://www.ppsfulfill.com/,2930 Vail Ave,Google Maps
ShipJoy 3PL Warehouse & Fulfillment,(323) 204-9011,,http://www.shipjoy.com/,6170 S Boyle Ave,Google Maps
Nakano Warehouse & Trans Corporation,(310) 639-6872,,,18924 S Laurel Park Rd # A,Google Maps
"Tawa Supermarket, Inc. Warehouse",(714) 521-8899,,https://www.99ranch.com/,6338 Regio Ave,Google Maps
Rigel international inc warehouse,(657) 255-4255,,,Valley View Ave,Google Maps
Capital logistics,(310) 609-5213,,http://www.clwgroupinc.com/,525 W Manville St,Google Maps
FlexEtc,(323) 992-4433,,https://www.flexetc.com/cowarehousing/ca/los-angeles/e-12th-st/?utm_source=GBP&utm_medium=organic,3040 E 12th St,Google Maps
STG Logistics,(310) 764-4395,,http://www.stgusa.com/,1650 S Central Ave,Google Maps
All Cartage Transportation Warehouse,(310) 978-8447,,,13025 Cerise Ave,Google Maps
C.H Robinson L.A Warehouse 2,(310) 763-6077,,,18291 S Santa Fe Ave,Google Maps
BG Warehouse,(424) 430-1300,,,8433 Eastern Ave,Google Maps
Langer Juice,(626) 961-2021,,https://langers.com/,16195 Stephens St,Google Maps
Expo Warehouse,(562) 263-0200,,,14141 Arbor Pl,Google Maps
Eds West LLC,(323) 887-7367,,,6666 E Washington Blvd,Google Maps
Return Inc,(323) 725-6370,,,2836 Vail Ave,Google Maps
Warehouse whole sell supplies,(626) 325-4276,,,9508 Rush St,Google Maps
"Kenko Freight Systems, Inc.",(562) 663-8888,,http://www.kenkogroup.com/,13438 Foster Rd,Google Maps
Lionext Inc | CFS Warehouse | Bonded Trucks | Warehouse,(562) 222-3885,,https://www.lionext.com/,13021 Leffingwell Rd,Google Maps
4PX Express,(323) 597-0288,,,"4112, 5650 Grace Pl",Google Maps
Cubework,(800) 338-6369,,https://www.cubework.com/,900 Turnbull Canyon Rd,Google Maps
"Airlyle Fulfillment, Inc.",(888) 611-0656,,,16175 Stephens St #3A,Google Maps
Rove Concepts Outlet Santa Fe,(866) 885-6729,,https://www.eventbrite.ca/e/rove-concepts-outlet-saturdays-los-angeles-tickets-1355988109939?aff=oddtdtcreator,8201 Sorensen Ave,Google Maps
APW Knox-Seeman Warehouse,(310) 851-5874,,,14020 Van Ness Ave,Google Maps
SoCal Warehouse,(562) 685-9428,,https://socalwarehouse.com/,6621 Pacific Coast Hwy #150,Google Maps
ReadySpaces,(562) 399-5224,,https://readyspaces.com/location/los-angeles/south-gate/,5625 Firestone Blvd,Google Maps
Bonded Warehousee,(310) 930-9777,,http://www.lawarehouseexpress.com/,2100 E 49th St,Google Maps
