Name,Category,Phone,Email,Website,Address,general_info,Source,
Master Movers,"Movers, Public & Commercial Warehouses",(559) 206-7673,erik@economymovers.com,http://www.mastermayflower.com/,"4251 W Swift,  Fresno, CA 93722","As an agent for Mayflower, the nation's most recognized and trusted company in the moving industry, Master Movers has the resources to handle virtually ANYTHING, and to get it ANYWHERE safely! We are a family-owned and operated company with over 30 years of Moving experience and all of our employees are subject to background checks ensuring security and quality work with every aspect of your move.",yellowpage,
Pacific-Melrose Mini-Storage,"Self Storage, Boat Storage, Public & Commercial Warehouses",(760) 691-1496,anne@pinamontirentals.com,,"527 Olive Ave,  Vista, CA 92083","Low Cost Storage Open Seven days a week , R V & Boat Storage , All Ground level , No Deposits . Call Today ! For Reserving your Storage Space !!",yellowpage,
Fulton Distributing,"Paper-Wholesale & Manufacturers, Chemicals-Wholesale & Manufacturers, General Merchandise-Wholesale",(442) 307-6189,e.store@fultondistributing.com,https://www.fultondistributing.com/,"53603 Polk St,  Coachella, CA 92236","Fulton Distributing is proud to be the independent regional provider for all your cleaning supplies and equipment and quality food service disposable needs. We pride ourselves on providing solutions to meet our customers' needs while delivering superior service on quality branded products. We are proud to be the premier local supplier to the Resort, Gaming, Recreational, Country Club, Maintenance Contractor, Healthcare, Industrial, Agricultural, Foodservice, and Education industries for over 60 years. We work to create value for our customers. Whether your business is large or small, let Fulton Distributing be your trusted source for all your Janitorial, Breakroom, and Foodservice disposable needs.",yellowpage,
Inland Specialities Inc,"Public & Commercial Warehouses, Hardware Stores",(951) 470-3936,jdrake@inlandspecialties.com,https://inlandspecialties.com/,"9800 Indiana Ave, Ste 9,  Riverside, CA 92503",We enjoy meeting the needs of our customers. Our Flexibility accommodates production requirements for immediate delivery or release orders to smaller quantities and bin servicing. Most of our quotes are made immediately over the phone. We look forward to a lasting relationship.,yellowpage,
Santa Fe BG Machinery Movers,"Machinery Movers & Erectors, Crane Service, Industrial Equipment & Supplies-Wholesale",(844) 919-5937,santafemovers@gmail.com,https://www.santafebgmachinerymovers.com/,"6425 Clara St,  Bell Gardens, CA 90201","Looking for reliable heavy machinery movers to help with your industrial needs? Look no further than Santa Fe BG Machinery Movers. With over 25 years of experience, we are your go-to partner for all your heavy machinery moving needs in Bell Gardens, CA. At Santa Fe BG Machinery Movers, our mission is simple: provide top-notch machinery moving services. We're committed to ensuring precision, reliability, and efficiency in every project, no matter its size.",yellowpage,
A To Z Mini Storage Grace Welcome,"Public & Commercial Warehouses, Business Documents & Records-Storage & Management, Self Storage",(406) 565-4302,grace.welcome@comcast.net,,"1610 La Honda RD,  Woodside, CA 94062","A To Z Mini Storage is a self storage facility serving customers in Butte, Montana. Our convenient location offers a variety of unit sizes. Our units are well-suited for personal and commercial storage. Features of A To Z Mini Storage include: On-site manger Fenced, Lighted Areas Use your lock and you keep the key Drive-up, ground level access Low monthly rates We are open 7 days a week. Long term rates are available. We accept Visa, MasterCard and Debit cards as forms of payment. Call today for rental information.",yellowpage,
Best Logistics,"Trucking, Public & Commercial Warehouses, Self Storage",(209) 931-5849,info@bestlogistics.net,http://bestlogistics.net/,"Stockton, CA 95203","Best Logistics, based in Stockton, Calif., is a third-party logistics company, providing professional supply chain analysis and management solutions. It specializes in handling food products, consumer goods, paper products and building materials. Established in 1992, Best s warehouse is built on more than 400,000-square-feet of space and provides local, regional and national distribution. Its transportation services include intra and interstate truckload service, daily pickup and deliveries within California, consolidation and pool shipping service, transload, drayage, intermodal brokerage and refrigerated service. The company s warehouse services include manufacturing support, contract warehousing, freight consolidation and pool shipping, vendor managed inventory, crossdock shipping, rail container transloading and national distribution and parcel service. Best Logistics is affiliated with several organizations, including Warehousing Education Research Council, American Public Warehouse Register, Corporate Distribution Services, California Trucking Association and Better Business Bureau.",yellowpage,
Lodi Stor-All,"Self Storage, Boxes-Corrugated & Fiber, Cold Storage Warehouses",(209) 200-8804,sp55@storagepro.com,http://www.storagepro.com/,"1431 S Stockton St,  Lodi, CA 95240",Please Call for Additional Information,yellowpage,
First Rate Storage,"Self Storage, Business Documents & Records-Storage & Management, Cold Storage Warehouses",(530) 636-6571,,http://www.firstratestorage.com/,"1520 E Main St,  Woodland, CA 95776","At First Rate Storage in Woodland, California you can get into your storage unit every day of the year, from 6:00 am to 10:00 pm. In addition our office is open from 9:00 am to 6:00 pm, seven days a week—a feature that sets us apart from many other storage facilities in Woodland and Davis. Our storage units will work for whatever your situation may be. Units at our storage facility in Woodland are available in a wide variety of sizes and dimensions and allow the customer to conveniently drive up to the unit to unload.",yellowpage,
Allspace Self Storage,"Public & Commercial Warehouses, Automobile Storage, Cold Storage Warehouses",(714) 636-8214,allspacegg@yahoo.com,http://www.allspaceselfstorage.com/,"11382 Trask Ave,  Garden Grove, CA 92843","Allspace Self Storage offers a secure storage facility where you can store your personal, business, or industrial supplies. Our mini storage facility offers a variety of unit sizes to accommodate any needs. No matter your needs, we have the storage unit. With a wide array of sizes and price points available, our local storage facility can fill your needs.",yellowpage,
Allspace Self Storage,"Public & Commercial Warehouses, Cold Storage Warehouses, Movers",(949) 760-0800,allspacecm@yahoo.com,http://www.allspaceselfstorage.com/,"Costa Mesa, CA 92627","Allspace Self Storage offers a secure storage facility where you can store your personal, business, or industrial supplies. Our mini storage facility offers a variety of unit sizes to accommodate any needs. No matter your needs, we have the storage unit. With a wide array of sizes and price points available, our local storage facility can fill your needs.",yellowpage,
National Storage Centers,"Warehouses-Merchandise, Boat Storage, Boxes-Paper",(707) 837-8894,,,"7500 Conde Ln,  Windsor, CA 95492","Welcome to National Storage Centers in Windsor. We proudly serve the communities of Sonoma County, California with our modern public storage facility. Our staff is here to assist you in any way we possibly can. At National Storage Centers our mission is to provide quality service and products at the lowest possible cost to you. Customer satisfaction and value is our top priority. Our friendly knowledgeable staff is here to offer a solution for all your household and business storage needs. National Storage Centers is conveniently located off of Highway 101, on Conde Lane in Windsor. Whenever you are in need some extra space, we offer a variety of unit sizes and services to ensure all of your needs are met. We offer storage for personal, household or business use. All storage units are on the ground floor for easier access. Other amenities include climate-controlled spaces, convenient gate hours, 6am-9pm, keypad gate access, 24/7 video surveillance, clean & well-maintained, indoor car & boat storage, boxes & moving supplies, deliveries accepted and a live-in resident manager. We know you have a lot of options when choosing a place to store in Windsor. Give us a call to learn about how easy and affordable it is to store your household or business items with us!",yellowpage,
Golden State Storage - Northridge,"Storage Household & Commercial, Automobile Storage, Boat Storage",(818) 206-1301,nor@goldenstatestorage.com,http://www.goldenstatestorage.com/,"18832 Rayen St,  Northridge, CA 91324","Northridge's best choice for self storage value is Golden State Storage - Northridge. Our prices are low, our facility is clean, and our managers are pleasant and helpful. In business for over 40 years, we have perfected storage quality to be the only storage business you will ever need. At our Rayen Ave location, we use state of the art security features to protect your stored items. Closed circuit television cameras provide constant video surveillance. The use of personalized access codes allows access to only our valued customers and tenants. Plus, our managers live onsite, providing an extra level of attention and security.",yellowpage,
Space Place,"Storage Household & Commercial, Automobile Storage, Boat Storage",(661) 942-8825,joe@executiveselfstorage.com,http://www.executiveselfstorage.com/,"825 W Avenue L12,  Lancaster, CA 93534",,yellowpage,
A Storage Place,"Storage Household & Commercial, Automobile Storage, Boat Storage",(805) 742-4472,evonne@astorage.com,https://www.astorageplace.com/self-storage/ca/lompoc/a-storage-place-lompoc,"1424 N L St,  Lompoc, CA 93436","Whether youâ??re preparing for deployment or you simply need to free up space in the garage, A Storage Place in Lompoc, California, is here to help. Weâ??re here for lifeâ??s big moments, those moments when you need self storage thatâ??s clean, reliable, and centrally located so that you can make quick decisions and get back to your busy life. Our experienced professionals are here to answer your questions and help you choose the right unit. We make storage easy and flexible with features like 7-day-a-week access, online payments, month-to-month leasing.",yellowpage,
Auburn Self Storage,"Self Storage, Automobile Storage, Boxes-Corrugated & Fiber",(530) 823-7555,aubsstrg@pacbell.net,http://www.aselfstore.com/,"391 Nevada St,  Auburn, CA 95603",,yellowpage,
Lineage,"Cold Storage Warehouses, Storage Household & Commercial, Warehouses-Merchandise",(209) 239-2888,rwarlich@lineagelogistics.com,http://lineagelogistics.com/facilities/manteca,"730 Spreckels Ave,  Manteca, CA 95336","Lineage Logistics is reimagining the world’s food supply chain by preserving, protecting, and optimizing the distribution of food.",yellowpage,
Tulare Industrial Center Inc.,"Warehouses-Merchandise, Commercial Real Estate, Distributing Service-Circular, Sample, Etc",(559) 686-5747,scott@tulareindustrialcenter.com,http://www.tulareindustrialcenter.com/,"446 W Prosperity Ave,  Tulare, CA 93274",,yellowpage,
TOMA-TEK Inc,"Self Storage, Public & Commercial Warehouses, Storage Household & Commercial",(559) 659-1675,,https://neiljonesfoodcompany.com/,"2502 N St,  Firebaugh, CA 93622",,yellowpage,
Sonoma Industrial Park Inc,"Office Buildings & Parks, Public & Commercial Warehouses, Warehouses-Merchandise",(707) 938-4682,manager@sonomaindustrialpark.com,http://www.sonomaindustrialpark.com/,"19600 8th St E,  Sonoma, CA 95476",,yellowpage,
Target Distribution Center,"Warehouses-Merchandise, Public & Commercial Warehouses",(530) 666-3705,,http://target.com/,"2050 E Beamer St,  Woodland, CA 95776","Target is a subsidiary of the Target Corporation, which operates Target stores, a chain of large general merchandise discount stores. Target operates more than 1,300 stores in nearly 50 states, which includes approximately 140 SuperTarget stores that add an upscale grocery shopping experience. In addition to the photo processing departments, pharmacies and Food Avenue restaurants found in almost every Target, SuperTargets include in-store bakeries, deli, meat and produce sections. Target also provides clothing for men, women and children; sporting goods; toys; electronics; entertainment items; home and office products and furniture; and house ware products. In addition to the Target stores, its products are also sold online at Target.com. Target maintains a location in Woodland, Calif.",yellowpage,
Glenn Growers,"Public & Commercial Warehouses, Warehouses-Merchandise",(530) 982-2132,,,"8020 County Road 61,  Princeton, CA 95970",,yellowpage,
Sierra West Warehouse,"Public & Commercial Warehouses, Warehouses-Merchandise",(559) 485-2892,dalem@sierraww.com,http://www.sierraww.com/,"2474 S Orange Ave,  Fresno, CA 93725","* Warehouse, Inc & Distribution Center",yellowpage,
Goldman Land & Developments Co,"Public & Commercial Warehouses, Warehouses-Merchandise",(831) 424-1640,,https://goldmanproperties.com/,"1054 Terven Ave,  Salinas, CA 93901",,yellowpage,
Tokenz,"Public & Commercial Warehouses, Warehouses-Merchandise",(650) 712-8457,,https://www.tokenzhmb.com/,"530 Main St,  Half Moon Bay, CA 94019",,yellowpage,
Locksley Mini-Storage,"Self Storage, Boxes-Corrugated & Fiber, Public & Commercial Warehouses",(530) 847-1400,locksleystorage@att.net,https://www.storagepro.com/self-storage-auburn-ca-f1092,"12095 Locksley Ln,  Auburn, CA 95602","Are you looking for affordable, clean, safe, and secure storage in Auburn? At StoragePRO, our first priority is YOU! We now offer 100% no-contact online rentals. What does this mean for you?You do not need to come into the office to rent or access your storage unit. Renting and all document signing is completed online. StoragePRO is also committed to providing a clean, safe, and secure storage experience when you are on site.StoragePRO is following the most rigorous cleaning and safety practices and each store is disinfected bi-weekly, with state-of-the-art electrostatic cleaners.Whether you are storing items for your business, a few personal items or your entire household, we have the perfect storage space to fit your needs. From our economy 5x8 units to our premium 10x30 units and our boat and vehicle storage, our resident on-site managers will provide expert guidance and excellent customer service to help you find the perfect space.? For your convenience, our units are all drive-up with ground-level access. Units are accessible 7 days a week allowing you more flexibility to get into your unit and manage your possessions.Security is our top priority. We will provide you with a personalized gate code to access our property safely and efficiently. Our store is well-lit, fenced and gated. The presence of our resident on-site manager provides extra security. For your boat or automobile, we offer wide driveways and outdoor units with drive-up access and wide parking spaces. We know that you need more than just a storage unit when youre in the middle of a move, so we conveniently have moving supplies such as boxes, tape and other packaging materials on site at our store. Give us a call or come on over and take a look at our conveniently located Auburn storage units.We will be happy to help you choose the right one for you. Ask about our move-in specials! Features: Resident on-site manager Single-level easy-access units Interior hallway unitsPersonalized gate codeMoving supplies available on site Online bill pay Fenced and gated Se Habla Espanol Car and boat parking; indoor and outdoor Drive-up units for easy access Well-lit for safety Wide driveways Conveniently located World-class customer service Location: Our Auburn self-storage property is located 2 minutes or less from Highway 49. We are in the northern part of Auburn close to Rock Creek Lake. Other nearby landmarks include Ridge Golf Course, Sutter Auburn Faith Hospital, and Rock Creek Plaza. We serve the entire city of Auburn, including the surrounding areas of Meadow Vista, Newcastle, and Applegate.",yellowpage,
Freeport Self Storage,"Self Storage, Movers & Full Service Storage, Public & Commercial Warehouses",(916) 229-6992,ryan@norcalselfstorages.com,https://www.freeport-selfstorage.com/,"1476 Blair Ave,  Sacramento, CA 95822","Sunny Sacramento serves as Californias state capitol as well as a hub of nonstop community and commercial activity. Freeport Self Storage, located on Blair Ave at the corner of Freeport Blvd, is your solution for small, medium, and large self storage in Sactown. We have the space you need to get organized.",yellowpage,
Bazaar Del Mundo,"Warehouses-Merchandise, Public & Commercial Warehouses",(619) 543-5180,,http://bazaardelmundo.com/,,,yellowpage,
River Road Mini Storage,"Self Storage, Public & Commercial Warehouses, Warehouses-Merchandise",(805) 239-4333,info@ministoragepasorobles.com,http://www.ministoragepasorobles.com/,"1631 N River Rd,  Paso Robles, CA 93446",,yellowpage,
Central Mini Storage,"Self Storage, Boat Storage, Boat Yards",(559) 486-6633,,,"1309 N Motel Dr,  Fresno, CA 93728",,yellowpage,
Kirk's Mini Storage,"Self Storage, Public & Commercial Warehouses, Storage Household & Commercial",(408) 378-8973,,http://www.kirksministorage.com/,"61 Dillon Ave,  Campbell, CA 95008",,yellowpage,
Dublin Security Storage,"Self Storage, Boat Storage, Movers",(925) 828-1888,admin@dublinsecuritystorage.com,http://www.dublinsecuritystorage.com/,"6005 Scarlett Ct,  Dublin, CA 94568","Are you looking for affordable, clean, safe, and secure storage in Dublin? Whether you are storing items for your business, a few personal items, or your entire household, we have the perfect storage space to fit your needs. From our economy 5x8 units to our premium 10x30 units and our RV storage, our on-site managers will provide expert guidance and excellent customer service to help you find the perfect storage space. For your convenience, we offer both drive-up access and interior storage with ground-level access. We are open 7 days a week allowing you more flexibility to get into your unit and manage your possessions. Security is our top priority. We will provide you with a personalized gate code to access our property safely and efficiently. Our store is fenced and gated is well-lit, and has 24-hour video surveillance. Our on-site manager provides extra security. In need of moving supplies? Unit locks, bubble wrap, packing tape, and boxes in various sizes are available on-site at affordable prices. Dollies and handcarts are available for your convenience.For your RV, we offer wide driveways and spaces with covered parking. Give us a call or come on over and take a look at our conveniently located Dublin storage units. We will be happy to help you choose the right one for you. Ask about our move-in specials! Features:24 Hours SurveillancePenske Trunk Rentals16 ft Box Truck Offered For Free With Move In (limited 2 hours)Hand Trucks Furniture DoiliesRV ParkingExtended Gate Hours Drive-up accessInterior Storage for added securityCCTV system Keypad access Access 7 days a week Online bill pay On-site manager Well-lit for safety Wide Driveways Moving supplies available on-site Conveniently located World-class customer service",yellowpage,
Aladdin Depot,"Public & Commercial Warehouses, Warehouses-Merchandise",(510) 895-9227,,,"555 Montague St,  San Leandro, CA 94577",,yellowpage,
Corporate Fulfillment Systems Inc.,"Public & Commercial Warehouses, Warehouses-Merchandise, Warehousing-Field",(415) 552-6697,Watson_Tom@cfsmail.com,,"1106 San Mateo Ave S,  South San Francisco, CA 94080","Corporate Fulfillment Systems, also known as CFS, specializes in the areas of project and inventory and distribution management. The company provides custom kitting, shrink wrapping, data entry and database management services. It also prepares customized reports and offers computerized inventory control services. Corporate Fulfillment Systems has a planning department that offers distribution planning and packaging solutions for its clients. The company provides information related to production status for its clients.",yellowpage,
"Advantage Media Services, Inc.","Inventory Service, Public & Commercial Warehouses, Shipping Services",(866) 452-3379,,http://amsfulfillment.com/,,"Work with a company that takes care of your inventory as well as your budget. 
 Call and see the difference AMS delivers. In short, we are a Los Angeles based fulfillment firm offering warehouse storage, inventory services, and shipping services. 
 We work hard every day, we stay within budget and we take great care of our clients' inventories, shipping, and warehousing needs. In fact, we are the only warehousing and fulfillment service that offers OnGuard Inventory Protection, a safeguard for total inventory management and order fulfillment precision. 
 AMS offers service solutions for both Business-to-Business (B-2-B) and Business-to-Consumer (B-2-C) clients include Warehousing, Order Management, Inventory Management, and Logistics.",yellowpage,
The Olive Plant Warehouse,"Public & Commercial Warehouses, Boat Storage, General Contractors",(559) 625-5867,sales@oliveplantwarehouse.com,http://www.oliveplantwarehouse.com/,"315 E Tulare Ave,  Visalia, CA 93277","The Olive Plant Warehouse is a Multi Functional Storage Facility, Offering Indoor Storage for All Types of Merchandise, Documents and Everything Else Overrunning Your Current Space. We Also Provide Indoor Storage for Large & Small RV's, Boats, Watercraft, Trailers & Cars. Aside From Our Warehouse, We Have Portable Storage Boxes that We Deliver to Your Home or Business. you Load Them, you Lock Them and We'll Store It Till you Need Access Again. Give us a Call Today to Compare Our Low Rates. We Have Space From 16 to 100,000 Sq Ft.",yellowpage,
Save Mart Distribution Center,"Warehouses-Merchandise, Public & Commercial Warehouses",(209) 574-6299,,,"9999 Niblick Dr,  Roseville, CA 95678",,yellowpage,
Colbert Jason Construction,"Warehouses-Merchandise, Air Conditioning Contractors & Systems, Building Contractors-Commercial & Industrial",(530) 257-3083,,,,,yellowpage,
Hanford Mini Storage,"Warehouses-Merchandise, Public & Commercial Warehouses, Self Storage",(559) 583-6090,justinvlotho@yahoo.com,https://www.stormaxstorage.co/hanford-mini.html,"175 S Williams St,  Hanford, CA 93230",,yellowpage,
Apple Distribution Center,"Warehouses-Merchandise, Public & Commercial Warehouses",(916) 394-2600,,http://apple.com/,"2911 Laguna Blvd,  Elk Grove, CA 95758",,yellowpage,
S & S Warehousing Inc,"Warehouses-Merchandise, Public & Commercial Warehouses",(510) 352-4646,dsartori@s-swarehousing.com,http://s-swarehousing.com/,"2976 Alvarado St,  San Leandro, CA 94577",,yellowpage,
Fremont Vehicle Storage,"Recreational Vehicles & Campers-Storage, Public & Commercial Warehouses, Warehouses-Merchandise",(510) 656-3353,,,"44655 Fremont Blvd,  Fremont, CA 94538",,yellowpage,
Hydra Warehouse Inc.,"Public & Commercial Warehouses, Self Storage, Warehouses-Merchandise",(916) 383-9620,,,"8825 Elder Creek Rd,  Sacramento, CA 95828",,yellowpage,
Listoe Rentals,"Public & Commercial Warehouses, Warehouses-Merchandise",(530) 226-5340,,,"8865 Airport Rd,  Redding, CA 96002",,yellowpage,
Hudd Distribution,"Warehouses-Merchandise, Public & Commercial Warehouses",(510) 337-0920,,,"1501 Buena Vista Ave,  Alameda, CA 94501",,yellowpage,
RCS Builders,"Warehouses-Merchandise, Building Contractors-Commercial & Industrial, General Contractors",(916) 294-7104,,,"Folsom, CA 95630",,yellowpage,
Advanced Nutrients US,"Storage Household & Commercial, Public & Commercial Warehouses, Warehouses-Merchandise",(707) 542-6025,,,"250 Dutton Ave,  Santa Rosa, CA 95407",,yellowpage,
Westransco Inc,"Warehouses-Merchandise, Public & Commercial Warehouses, Storage Household & Commercial",(714) 533-8787,,,,,yellowpage,
Crate & Barrel Warehouse,"Public & Commercial Warehouses, Warehouses-Merchandise",(209) 221-8007,customer_service@crateandbarrel.com,https://www.crateandbarrel.com/stores/tracy-housewares-distribution-center/str499,"1605 N Chrisman Rd,  Tracy, CA 95304","Visit the Tracy, CA Crate & Barrel warehouse for the convenient pickup of larger furniture orders. Please note that this is not a retail location. There is no shopping at our California furniture warehouses and you must have your pick-up date and time booked in advance. To shop our selection of furniture, housewares and decor, please visit one of our retail locations that's nearest to Tracy, including the Walnut Creek Crate & Barrel store that's located in Broadway Plaza.",yellowpage,
Corovan,"Movers & Full Service Storage, Local Trucking Service, Movers",(510) 635-9900,answers@corovan.com,http://www.corovan.com/,"10901 Bigge St,  San Leandro, CA 94577","Corovan is the West Coast's largest commercial moving company providing the necessary support & services before, during & after your business relocation. And we've been moving all types of California businesses since 1947. From planning..to furniture installation & sales...to moving...to storage...we've helped thousands of California businesses relocate. We are an expert moving partner for office, biotechnology, laboratory, warehouse, defense contractor, military, high-tech company, university, education, hospital, government, banks, financial service companies, libraries, office reconfigurations, logistics, etc. that understands the nuances of any type of business move, including yours. We offer local & long distance moves. Smart companies trust their office moves to Corovan.",yellowpage,
A1 Storage Yard,"Warehouses-Merchandise, Public & Commercial Warehouses, Self Storage",(559) 485-1794,,http://azstoragefresno.com/,"209 N Valentine Ave,  Fresno, CA 93706",,yellowpage,
Cortrans Logistics,"Public & Commercial Warehouses, Warehouses-Merchandise",(916) 706-1917,,,"2750 Mercantile Dr,  Rancho Cordova, CA 95742",,yellowpage,
Voiptrex,"Public & Commercial Warehouses, Warehouses-Merchandise",(408) 786-9980,,,"2660 John Montgomery Dr Ste 27,  San Jose, CA 95148",,yellowpage,
Z Collection Inc,"Public & Commercial Warehouses, Warehouses-Merchandise",(415) 829-7587,,,"1698 Evans Ave,  San Francisco, CA 94124",,yellowpage,
Maxim Integrated,"Public & Commercial Warehouses, Warehouses-Merchandise",(408) 435-3887,,http://maximintegrated.com/,"1940 Concourse Dr,  San Jose, CA 95131",,yellowpage,
Commercial Services,"Public & Commercial Warehouses, Warehouses-Merchandise",(916) 993-9207,cgiang@goodyear.com,,"6731 32nd St,  North Highlands, CA 95660",,yellowpage,
Event Compression Group,"Public & Commercial Warehouses, Warehouses-Merchandise",(650) 274-0852,,http://www.eventcompressiongroup.com/,"1140 Cypress Ave,  San Mateo, CA 94401",,yellowpage,
Cal Self Storage Hayward,"Self Storage, Moving Boxes, Public & Commercial Warehouses",(510) 538-1536,,http://www.calselfstorage.com/,,Your favorite self storage facility in Hayward for over 25 years.,yellowpage,
Fresno Regional & Nat Zone,"Public & Commercial Warehouses, Warehouses-Merchandise",(559) 264-2393,,https://www.fresnoregfoundation.org/,"4401 E Central Ave,  Fresno, CA 93725",,yellowpage,
